"osm_id","latitude","longitude","name","traffic_signals","direction","crossing","source","osm_url"
17327106,12.9172090,77.5858603,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/17327106"
17327420,13.0952244,77.5941775,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/17327420"
26529522,12.9746070,77.6200528,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/26529522"
26529553,12.9815923,77.6232203,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/26529553"
60952260,12.9660779,77.6067449,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/60952260"
60952288,12.9580529,77.6059189,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/60952288"
60952294,12.9599337,77.6019168,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/60952294"
60952479,12.9706326,77.6103062,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/60952479"
61746200,12.9400273,77.6253351,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/61746200"
61746217,12.9427582,77.6225279,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/61746217"
61748543,12.9685209,77.6144953,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/61748543"
61748553,12.9524150,77.6202156,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/61748553"
62053503,12.9605170,77.5043062,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/62053503"
62053645,12.9605130,77.5043695,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/62053645"
62067292,12.9613763,77.5840428,"","","","traffic_signals","OpenStreetMap","https://www.openstreetmap.org/node/62067292"
158687972,12.9541872,77.5852663,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/158687972"
176470763,12.9379970,77.5497383,"Seeta Circle","","","","OpenStreetMap","https://www.openstreetmap.org/node/176470763"
245614692,12.9484823,77.5737822,"","","","","OpenStreetMap","https://www.openstreetmap.org/node/245614692"
246171012,12.9656578,77.5869253,"","signal","","","OpenStreetMap","https://www.openstreetmap.org/node/246171012"
